Total commits,Total commits per day,Accumulated commits,Committers,Committers Weight,classes,ncloc,functions,coverage,PorcentajeToxicos,Toxicos
4,0.083333333,1709,1,100,2746,150425,13115,35.7,50,1
52,0.183098592,1705,6,3.05795899,2746,150425,13115,35.6,34,1
14,0.194444444,1653,4,22.26345083,2734,149867,13078,0,28,0
0,0,1639,0,0,0,0,0,0,0,0
4,0.444444444,4813,2,37.5,6192,342231,27231,50.3,75,2
68,0.345177665,4809,17,2.652184895,6192,342231,27231,50.3,44,1
133,0.81097561,4741,17,1.789845931,6141,340801,27090,49.4,30,0
0,0,4608,0,0,0,0,0,0,0,0
239,6.828571429,3103,9,1.509719739,2923,549902,34023,24.1,33,0
596,5.570093458,2864,15,0.410058673,2896,547875,33883,24.3,32,0
408,5.746478873,2268,10,0.704255181,2857,528661,33982,24.6,28,0
415,5.928571429,1860,12,0.727609485,2803,519799,33531,24.6,34,1
210,6.774193548,1445,9,1.823411545,2536,461716,30974,27.1,30,0
189,6.3,1235,11,1.095026415,2393,430636,29646,26.6,34,1
0,0,1046,0,0,0,0,0,0,0,0
226,2.756097561,1573,14,3.008930658,2776,226953,15129,24.9,14,0
248,0.654353562,1347,15,1.900766041,2726,224192,14747,18.2,20,0
0,0,1099,0,0,0,0,0,0,0,0
0,0,7705,0,0,0,0,0,0,0,0
12,12,7705,5,11.4379085,2353,133113,14369,71.4,41,1
17,4.25,7693,8,7.118141374,2356,133169,14383,71.4,47,1
0,0,7676,0,0,0,0,0,0,0,0
12,12,7676,3,11.9047619,2320,131986,14204,71.3,33,0
13,6.5,7664,4,14.47963801,2320,131824,14204,71.3,46,1
1,0.5,7651,1,100,2320,131823,14204,71.3,100,2
9,9,7650,4,19.75308642,2320,131767,14200,71.3,33,0
9,9,7641,3,15.55555556,2320,131773,14200,71.3,44,1
21,10.5,7632,6,6.256517205,2296,130619,14010,71.1,38,1
8,8,7611,3,17.30769231,2296,130619,14010,71.1,25,0
11,3.666666667,7603,3,12.91866029,2296,130619,14010,71.1,27,0
0,0,7592,0,0,0,0,0,0,0,0
13,13,7592,4,9.925558313,2296,130541,14009,71.1,30,0
10,10,7579,3,18.26086957,2296,130541,14009,71.1,40,1
13,13,7569,4,12.51629726,2293,130359,13981,71.1,30,0
8,2.666666667,7556,4,15625,2293,130359,13981,71.1,37,1
14,14,7548,4,12.19512195,2293,130329,13977,71.1,42,1
18,9,7534,2,19.75308642,2293,130229,13977,71.2,44,1
7,7,7516,4,17.58241758,2293,130229,13977,71.1,42,1
0,0,7509,0,0,0,0,0,0,0,0
19,4.75,7509,5,7.368421053,2293,130107,13974,71.1,47,1
0,0,7490,0,0,0,0,0,0,0,0
21,10.5,7490,5,6.683375104,2293,130095,13973,71.1,33,0
10,10,7469,4,12.72727273,2293,130081,13973,71.1,30,0
14,3.5,7459,6,9.703504043,2293,130077,13973,71,50,1
21,21,7445,4,8.556149733,2291,129764,13935,71.1,38,1
10,5,7424,3,14.11764706,2289,129557,13903,71,30,0
7,2.333333333,7414,3,19.48051948,2289,129557,13903,71,57,1
13,13,7407,5,9.355509356,2289,129558,13901,71,23,0
11,11,7394,4,16.78321678,2289,129486,13893,71,36,1
7,7,7383,3,19.48051948,2289,129436,13893,70.9,42,1
13,13,7376,4,9.925558313,2288,129402,13889,70.9,30,0
13,3.25,7363,3,14.42307692,2281,128974,13813,70.8,53,1
34,17,7350,5,6.025824964,2255,127707,13685,71.1,29,0
10,10,7316,3,14.11764706,2256,127749,13700,71.1,30,0
7,7,7306,2,24.48979592,2255,127707,13685,71.1,28,0
7,2.333333333,7299,2,24.48979592,2255,127707,13685,71.1,57,1
7,7,7292,2,24.48979592,2255,127707,13685,71.1,28,0
13,13,7285,4,11.78396072,2255,127707,13685,71.1,30,0
0,0,7272,0,0,0,0,0,0,0,0
11,11,7272,5,10.97178683,2255,127708,13685,71.1,36,1
22,5.5,7261,4,9.59040959,2255,127706,13684,71.1,27,0
9,9,7239,3,15.55555556,2255,127706,13684,71.1,55,1
0,0,7230,0,0,0,0,0,0,0,0
19,9.5,7230,3,17.45152355,2252,127318,13644,71,21,0
10,10,7211,2,18,2252,127318,13644,71,50,1
10,3.333333333,7201,3,18.26086957,2252,127318,13644,71,30,0
0,0,7191,0,0,0,0,0,0,0,0
13,13,7191,4,11.78396072,2249,127115,13631,70.9,38,1
12,12,7178,5,10.1010101,2248,126983,13620,70.9,33,0
13,13,7166,6,11.78396072,2248,126940,13616,70.9,46,1
17,4.25,7153,3,11.22994652,2183,124309,13342,71,23,0
0,0,7136,0,0,0,0,0,0,0,0
7,7,7136,3,19.48051948,2183,124215,13343,71,57,1
11,11,7129,4,11.63636364,2183,124215,13343,71,45,1
17,8.5,7118,5,9.515570934,2183,124179,13339,71,23,0
0,0,7101,0,0,0,0,0,0,0,0
19,4.75,7101,4,8.202323992,2183,124179,13339,71,42,1
7,7,7082,4,17.58241758,2182,124038,13319,71,42,1
24,12,7075,2,15.27777778,2182,123887,13318,71,20,0
2,1,7051,1,100,2182,123887,13318,71,0,0
18,9,7049,4,10.69958848,2181,123804,13303,70.9,27,0
0,0,7031,0,0,0,0,0,0,0,0
22,11,7031,6,6.706408346,2180,123702,13296,70.9,31,0
0,0,7009,0,0,0,0,0,0,0,0
25,6.25,7009,4,12.2247191,2180,123670,13296,70.9,36,1
0,0,6984,0,0,0,0,0,0,0,0
0,0,6984,0,0,0,0,0,0,0,0
22,11,6984,6,6.706408346,2192,123880,13300,70.8,27,0
0,0,6962,0,0,0,0,0,0,0,0
13,13,6962,4,9.925558313,2192,123818,13299,70.8,30,0
14,3.5,6949,3,13.46938776,2192,123818,13299,70.8,42,1
0,0,6935,0,0,0,0,0,0,0,0
23,11.5,6935,3,12.39130435,2192,123814,13299,70.8,26,0
12,12,6912,3,15.51724138,2192,123814,13299,70.8,33,0
7,1.75,6900,3,24.48979592,2192,123814,13299,70.8,57,1
0,0,6893,0,0,0,0,0,0,0,0
11,11,6893,5,12.39669421,2192,123806,13298,70.8,36,1
17,5.666666667,6882,3,11.22994652,2172,122627,13063,70.6,35,1
7,2.333333333,6865,2,24.48979592,2172,122627,13063,70.6,42,1
15,15,6858,3,12.63157895,2172,122627,13063,70.6,26,0
14,14,6843,2,13.26530612,2172,122627,13063,70.6,28,0
5,2.5,6829,2,32,2172,122627,13063,70.6,60,1
11,2.75,6824,3,18.47507331,2172,122627,13063,70.6,36,1
0,0,6813,0,0,0,0,0,0,0,0
7,7,6813,2,24.48979592,2172,122626,13063,70.6,28,0
20,10,6806,6,7.358490566,2172,122626,13063,70.6,45,1
7,2.333333333,6786,2,24.48979592,2172,122626,13063,70.6,42,1
13,13,6779,2,14.20118343,2172,122626,13063,70.6,15,0
9,9,6766,4,14.03508772,2172,122626,13063,70.6,44,1
9,9,6757,3,20,2172,122557,13060,70.6,33,0
0,0,6748,0,0,0,0,0,0,0,0
9,9,6748,4,14.03508772,2172,122557,13060,70.6,22,0
19,4.75,6739,4,8.202323992,2172,122556,13060,70.6,36,1
9,9,6720,2,19.75308642,2171,122476,13051,70.6,33,0
8,8,6711,2,21875,2171,122476,13051,70.6,25,0
7,1.75,6703,2,24.48979592,2171,122476,13051,70.6,42,1
0,0,6696,0,0,0,0,0,0,0,0
17,17,6696,2,20.76124567,2171,122461,13051,70.6,41,1
13,13,6679,4,9.925558313,2171,122461,13051,70.6,38,1
6,6,6666,2,27.77777778,2171,122466,13051,70.6,33,0
9,9,6660,2,19.75308642,2171,122466,13051,70.6,33,0
8,2.666666667,6651,2,21875,2171,122466,13051,70.6,62,1
0,0,6643,0,0,0,0,0,0,0,0
21,10.5,6643,4,9.235209235,2171,122466,13051,70.6,38,1
21,10.5,6622,3,13.49206349,2171,122461,13050,70.6,19,0
12,4,6601,2,15.27777778,2171,122360,13050,70.6,41,1
0,0,6589,0,0,2171,122360,13050,70.6,0,0
11,11,6589,5,12.98701299,2171,122352,13050,70.6,90,3
0,0,6578,0,0,0,0,0,0,0,0
125,2.049180328,3358,13,1.441839274,773,45668,3914,74.8,42,1
86,1.323076923,3233,10,1.438645207,737,43748,3755,73,44,1
124,2.339622642,3147,8,1.650967013,735,43512,3740,73.5,50,1
0,0,3023,0,0,0,0,0,0,0,0
0,0,3023,0,0,0,0,0,0,0,0
79,1.837209302,3023,7,2.934217439,734,43369,3734,73.3,56,1
305,1.631016043,2944,30,0.434193506,464,34742,2764,48.2,47,1
57,3.5625,2639,2,21.5450908,456,34314,2719,77.1,36,1
196,2.041666667,2582,17,0.601871918,456,34274,2712,77.1,22,0
221,3.564516129,2386,16,0.581932229,455,34148,2702,77.1,31,0
208,2.536585366,2165,12,0.962651154,475,34208,2748,75.8,36,1
137,2.795918367,1957,17,0.89991478,440,31561,2511,74.4,40,1
94,1.918367347,1820,13,1.55916708,435,30402,2428,73.1,39,1
2,1,1726,1,100,435,30279,2428,73.1,0,0
277,1.648809524,1724,21,0.567308255,432,30165,2418,73,44,1
34,1.172413793,1447,9,4.125286478,412,27717,2209,66.7,44,1
51,1.821428571,1413,11,3.256931072,413,27730,2210,66.8,39,1
103,2.641025641,1362,11,1.400896432,390,47805,2085,66.6,32,0
8,1.333333333,1259,3,22.05882353,389,47689,2076,66.4,37,1
18,6,1251,3,13.48314607,374,45549,2057,65.8,22,0
68,1.789473684,1233,15,2.164454842,332,40453,1852,64.9,44,1
7,3.5,1165,3,25.71428571,331,40428,1849,65,28,0
11,5.5,1158,4,13.75921376,331,40428,1849,65,54,1
66,2.357142857,1147,17,2.135022422,300,38385,1667,53.1,37,1
14,2.8,1081,4,16.32653061,300,38325,1667,53.1,64,1
19,1.9,1067,3,26.72064777,297,38168,1662,52.7,47,1
39,1.695652174,1048,7,4.812249362,281,34448,1570,51.5,25,0
2,2,1009,1,100,281,34448,1570,51.5,50,1
43,2.263157895,1007,4,7.326576854,255,31777,1507,49.5,37,1
26,3.25,964,5,8.01137546,250,30084,1467,52.4,46,1
34,2.428571429,938,6,6.533127576,248,29528,1425,51.7,61,1
12,6,904,6,11.9047619,248,29512,1425,50.1,16,0
53,1.65625,892,12,2.455199474,242,25942,1288,42.7,54,1
9,1125,839,2,49.38271605,243,25840,1289,42.6,55,1
29,2.071428571,830,5,10.58423285,242,25183,1284,42.4,31,0
42,2.470588235,801,11,3.813906575,224,24577,1238,41.9,35,1
34,3.4,759,7,5.256570713,223,24374,1231,40.4,32,0
47,2.764705882,725,9,3.330249769,217,23569,1180,37.1,34,1
0,0,678,0,0,0,0,0,0,0,0
158,5.642857143,12718,9,2.094585969,1412,93970,11653,0,63,1
660,3.28358209,12560,29,0.295749812,1406,93280,11564,0,55,1
0,0,11900,0,0,0,0,0,0,0,0
59,5.9,11900,8,3.629865606,1398,90629,11283,0,61,1
172,4.526315789,11841,16,1.089251449,1398,90539,11275,0,50,1
94,13.42857143,11669,9,2.614189238,1388,89776,11224,0,65,1
90,6.923076923,11575,13,1.805903331,1384,89440,11186,0,61,1
1214,4.00660066,11485,48,0.162292813,1384,89444,11186,0,52,1
2,2,10271,1,100,1297,83888,10324,0,50,1
41,1.205882353,10269,10,4.451451359,1297,83849,10322,0,46,1
100,2.380952381,10228,13,2.212739131,1293,83480,10264,0,47,1
56,3.733333333,10128,11,3.198378783,1293,83443,10258,0,64,1
226,8.692307692,10072,13,1.345340615,1294,83455,10271,0,68,2
882,3.753191489,9846,49,0.241631437,1293,84136,10326,0,57,1
0,0,8964,0,0,0,0,0,0,0,0
117,3.65625,8964,15,1.618143201,1262,83527,10156,0,64,1
50,3.333333333,8847,10,4.270706456,1262,83463,10150,0,48,1
59,4.214285714,8797,8,3.221969001,1262,83426,10143,0,55,1
18,9,8738,4,14.10934744,1262,83420,10143,0,61,1
0,0,8720,0,0,0,0,0,0,0,0
121,1.21,3371,2,41.80042347,623,102312,4602,50.5,28,0
85,0.634328358,3250,3,2.910475255,609,100572,4581,50.6,51,1
132,1.404255319,3165,3,4.123978732,600,99482,4500,50.3,43,1
135,1.849315068,3033,2,7.133058985,591,102550,5230,0,45,1
64,1.939393939,2898,2,26.3671875,583,101336,5128,45.7,63,1
37,0.493333333,2834,2,10.22644266,583,100403,5128,45.8,51,1
159,3.533333333,2797,5,1.412387673,583,100191,5117,45,46,1
250,1.923076923,2638,4,0.777832402,618,102116,5280,42,50,1
98,0.640522876,2388,1,100,621,100157,5240,41.9,51,1
0,0,2290,0,0,0,0,0,0,0,0
45,0.115089514,719,3,8.595041322,1472,379572,10458,0.8,93,2
6,0.428571429,674,3,22.22222222,1472,379572,10458,0.8,66,1
17,0.186813187,668,5,11.02941176,1472,379572,10458,0.8,41,1
4,0.173913043,651,2,37.5,1472,379577,10458,0.8,50,1
15,1875,647,7,8.615384615,1472,379578,10458,0.8,40,1
0,0,632,0,0,0,0,0,0,0,0
1375,7.857142857,48781,30,0.227570725,8921,768905,78753,26.7,24,0
745,3.941798942,47406,26,0.546748632,8760,753925,77215,26.5,29,0
1778,6.047619048,46661,29,0.232471361,8653,743145,75919,26.2,28,0
828,5.830985915,44883,18,0.65770756,7799,626300,62368,28.9,30,0
0,0,44055,0,0,0,0,0,0,0,0
385,0.736137667,2082,32,0.415934212,476,234387,5827,66.7,67,2
28,1.555555556,33494,5,9.301659989,611,96588,7513,84.6,42,1
11,11,33466,2,29.75206612,611,96886,7552,84.4,54,1
270,3.176470588,33455,9,1.874811193,611,96844,7544,84.5,42,1
729,6.813084112,33185,7,1.808458128,596,95596,7450,83.8,37,1
754,7.32038835,32456,12,0.53832036,566,92419,7087,82.2,43,1
17,17,31702,3,33.08823529,562,93134,7123,81.7,35,1
1256,3.96214511,31685,18,0.188027519,562,93134,7123,81.7,43,1
0,0,30429,0,0,0,0,0,0,0,0
0,0,4847,0,0,1114,164078,10530,2.1,0,0
0,0,4847,0,0,1114,164078,10530,2.1,0,0
0,0,4847,0,0,1114,164078,10530,2.1,0,0
0,0,4847,0,0,1114,164074,10530,2.1,0,0
2,0.5,4847,1,100,1114,164077,10531,2.1,50,1
6,1.5,4845,5,18.51851852,1113,163996,10525,2.1,66,1
3,0.428571429,4839,3,33.33333333,1113,163990,10525,2.1,66,1
0,0,4836,0,0,1113,163990,10525,2.1,0,0
1,0.142857143,4836,1,100,1113,163990,10525,2.1,100,2
0,0,4835,0,0,1113,163990,10525,2.1,0,0
2,0.5,4835,2,50,1113,163990,10525,2.1,100,2
0,0,4833,0,0,1113,163990,10525,2.1,0,0
0,0,4833,0,0,1113,163990,10525,2.1,0,0
0,0,4833,0,0,1113,163990,10525,2.1,0,0
0,0,4833,0,0,1113,163990,10525,2.1,0,0
3,0.75,4833,2,44.44444444,1113,163985,10525,2.1,100,2
3,1,4830,2,44.44444444,1113,163927,10524,2.1,66,1
4,1,4827,1,100,1113,163929,10524,2.1,50,1
2,0.285714286,4823,2,50,1113,163877,10524,2.1,0,0
1,0.333333333,4821,1,100,1113,163877,10524,2.1,0,0
2,0.5,4820,1,100,1113,163824,10522,2.1,50,1
1,0.333333333,4818,1,100,1113,163824,10522,2.1,0,0
1,0.25,4817,1,100,1113,163772,10520,2.1,100,2
1,1,4816,1,100,1113,163772,10520,2.1,0,0
2,2,4815,2,50,1113,163772,10520,2.1,50,1
0,0,4813,0,0,1113,163774,10520,2.1,0,0
1,0.25,4813,1,100,1111,163405,10502,2.1,100,2
3,1,4812,2,44.44444444,1111,163398,10502,2.1,66,1
1,0.25,4809,1,100,1111,163398,10502,2.1,100,2
2,2,4808,2,50,1111,163151,10486,2.1,50,1
2,2,4806,1,100,1111,163151,10486,2.1,0,0
0,0,4804,0,0,1111,163101,10486,2.1,0,0
4,1,4804,3,30,1111,163101,10486,2.1,75,2
2,0.666666667,4800,2,50,1110,163026,10483,2.1,0,0
0,0,4798,0,0,1110,163026,10483,2.1,0,0
2,1,4798,2,50,1110,163026,10483,2.1,100,2
2,1,4796,2,50,1110,163026,10483,2.1,50,1
0,0,4794,0,0,1110,163026,10483,2.1,0,0
0,0,4794,0,0,1110,163026,10483,2.1,0,0
0,0,4794,0,0,1110,163026,10483,2.1,0,0
0,0,4794,0,0,1110,163026,10483,2.1,0,0
2,0.666666667,4794,2,50,1110,163026,10483,2.1,50,1
1,0.2,4792,1,100,1110,163026,10483,2.1,0,0
1,0.5,4791,1,100,1110,163026,10483,2.1,0,0
0,0,4790,0,0,1110,163026,10483,2.1,0,0
0,0,4790,0,0,1110,163026,10483,2.1,0,0
0,0,4790,0,0,1110,163026,10483,2.1,0,0
6,1,4790,4,22.22222222,1108,162964,10478,2.1,83,2
0,0,4784,0,0,1108,162974,10482,2.1,0,0
0,0,4784,0,0,1108,162974,10482,2.1,0,0
3,0.6,4784,2,44.44444444,1108,162978,10482,0,100,2
0,0,4781,0,0,1108,162978,10482,0,0,0
0,0,4781,0,0,1108,162978,10482,0,0,0
0,0,4781,0,0,1108,162978,10482,0,0,0
1,1,4781,1,100,1108,162978,10482,0,100,2
3,0.5,4780,2,44.44444444,1108,162978,10482,0,100,2
2,2,4777,1,100,1108,162975,10482,0,50,1
0,0,4775,0,0,1108,162975,10482,0,0,0
0,0,4775,0,0,1108,162975,10482,0,0,0
0,0,4775,0,0,1108,162975,10482,0,0,0
3,1.5,4775,2,44.44444444,1108,162948,10482,0,100,2
0,0,4772,0,0,1104,162802,10478,0,0,0
3,3,4772,3,33.33333333,1104,162792,10478,0,33,0
2,0.5,4769,2,50,1104,162792,10478,0,0,0
1,0.25,4767,1,100,1104,162792,10478,0,0,0
2,0.666666667,4766,2,50,1104,162792,10478,0,0,0
3,0.75,4764,3,33.33333333,1103,162733,10471,0,66,1
1,0.333333333,4761,1,100,1103,162733,10471,0,0,0
7,0.538461538,4760,4,17.58241758,1103,162733,10471,0,42,1
1,125,4753,1,100,1100,162492,10430,0,0,0
0,0,4752,0,0,1100,162492,10430,0,0,0
2,1,4752,1,100,1100,162492,10430,0,100,2
1,1,4750,1,100,1100,162474,10431,0,0,0
1,0.25,4749,1,100,1100,162474,10431,0,100,2
11,0.34375,4748,3,27.27272727,784,108170,4872,0,18,0
0,0,4737,0,0,784,108170,4872,0,0,0
1,0.333333333,4737,1,100,784,108170,4872,0,100,2
3,0.214285714,4736,2,44.44444444,783,108122,4863,0,100,2
1,0.333333333,4733,1,100,783,108122,4863,0,100,2
1,1,4732,1,100,783,108122,4863,0,100,2
1,1,4731,1,100,783,108116,4863,0,100,2
3,0.1875,4730,3,33.33333333,783,108116,4863,0,66,1
3,0.75,4727,2,44.44444444,783,108116,4863,0,100,2
0,0,4724,0,0,783,108116,4863,0,0,0
8,0.666666667,4724,3,17.30769231,784,108329,4910,0,37,1
2,0.666666667,4716,1,100,783,108284,4901,0,100,2
4,0.8,4714,3,30,781,108336,4891,0,75,2
3,3,4710,2,44.44444444,781,108336,4891,0,66,1
1,125,4707,1,100,781,108336,4891,0,0,0
1,0.25,4706,1,100,781,108336,4891,0,0,0
1,0.5,4705,1,100,781,108336,4891,0,100,2
